q,status,latency_ms,hit@k,recall@k,mrr@k,ndcg@k,map@k,em,f1,err
ما هو القانون الحاكم؟,OK,10086.73,1.0,1.0,1.0,1.0,1.0,0,0.2,
ما هي حقوق إنهاء العقد؟,OK,9250.36,1.0,1.0,1.0,1.0,1.0,0,0.2,
ما هي شروط الدفع؟,OK,9604.82,1.0,1.0,1.0,1.0,1.0,0,0.2,
هل توجد سرية وكيف نطاقها؟,OK,10423.19,1.0,1.0,1.0,1.0,1.0,0,0.2,
من هم الأطراف والأدوار؟,OK,13825.43,1.0,1.0,1.0,1.0,1.0,0,0.2,
ما هو حد المسؤولية؟,OK,14628.0,1.0,1.0,1.0,1.0,1.0,0,0.2,
